,title,rating,ratings_total,price,link,category
119,Barbasol Soothing Aloe Shaving Cream - 2.4oz - Trial Size,4.7,37.0,1.49,https://www.target.com/p/barbasol-soothing-aloe-shaving-cream-2-4oz-trial-size/-/A-84741223,Personal Care
0,FlowFlex Covid-19 Antigen Home Test - 1ct,4.6,1569.0,7.99,https://www.target.com/p/flowflex-covid-19-antigen-home-test-1ct/-/A-84996289,Health
1,Regular Cotton Swabs Paper Sticks - 500ct - up &#38; up&#8482;,4.8,3695.0,2.29,https://www.target.com/p/regular-cotton-swabs-paper-sticks-500ct-up-38-up-8482/-/A-11031089,Health
2,Wet Ones Antibacterial Hand Wipes Travel Pack - Fresh Scent - 20ct,4.8,1058.0,1.89,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-travel-pack-fresh-scent-20ct/-/A-15045578,Health
3,Hydrogen Peroxide Topical Solution USP - 32oz - up &#38; up&#8482;,4.8,2077.0,0.99,https://www.target.com/p/hydrogen-peroxide-topical-solution-usp-32oz-up-38-up-8482/-/A-15115908,Health
4,Q-Tips Cotton Swabs - 750ct,4.5,2030.0,5.29,https://www.target.com/p/q-tips-cotton-swabs-750ct/-/A-11223550,Health
5,Ricola Cough Drops - Natural Herb - 45ct,4.7,487.0,4.49,https://www.target.com/p/ricola-cough-drops-natural-herb-45ct/-/A-13347903,Health
6,Q-Tips Cotton Swabs - 500ct,,,3.69,https://www.target.com/p/q-tips-cotton-swabs-500ct/-/A-11223527,Health
7,Wet Ones Antibacterial Hand Wipes Travel Pack - Fresh Scent - 20ct,4.8,676.0,1.89,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-travel-pack-fresh-scent-20ct/-/A-14739017,Health
8,Isopropyl 70% Alcohol Antiseptic - 32oz - up &#38; up&#8482;,4.8,1382.0,2.99,https://www.target.com/p/isopropyl-70-alcohol-antiseptic-32oz-up-38-up-8482/-/A-11454824,Health
9,Vaseline Original Unscented Petroleum Jelly - 1.75oz,4.8,4018.0,1.79,https://www.target.com/p/vaseline-original-unscented-petroleum-jelly-1-75oz/-/A-12980616,Health
10,Manual Toothbrush - 2ct - Smartly&#8482;,4.6,3748.0,0.99,https://www.target.com/p/manual-toothbrush-2ct-smartly-8482/-/A-75557208,Health
11,Huggies Natural Care Sensitive Unscented Baby Wipes - 168ct,,,5.89,https://www.target.com/p/huggies-natural-care-sensitive-unscented-baby-wipes-168ct/-/A-13954318,Health
12,Isopropyl Alcohol 91% - 32oz - up &#38; up&#8482;,4.9,1541.0,3.99,https://www.target.com/p/isopropyl-alcohol-91-32oz-up-38-up-8482/-/A-13970972,Health
13,Ricola Cough Drops - Sugar Free Lemon Mint - 45ct,4.8,408.0,4.49,https://www.target.com/p/ricola-cough-drops-sugar-free-lemon-mint-45ct/-/A-13347898,Health
14,Wet Ones Sensitive Skin Hand Wipes Travel Pack - Fragrance Free - 20ct,4.7,344.0,1.89,https://www.target.com/p/wet-ones-sensitive-skin-hand-wipes-travel-pack-fragrance-free-20ct/-/A-14739015,Health
15,Luden&#39;s Soothing Throat Drops for Sore &#38; Irritated Throats - Wild Cherry - 30ct,4.7,411.0,1.59,https://www.target.com/p/luden-39-s-soothing-throat-drops-for-sore-38-irritated-throats-wild-cherry-30ct/-/A-13302603,Health
16,Tree Hut Candy Cane Shea Sugar Body Scrub - 18oz,4.8,395.0,8.0,https://www.target.com/p/tree-hut-candy-cane-shea-sugar-body-scrub-18oz/-/A-82483616,Health
17,Manual Toothbrush - 2ct - Driftwood - Smartly&#8482;,4.6,2979.0,0.99,https://www.target.com/p/manual-toothbrush-2ct-driftwood-smartly-8482/-/A-75557204,Health
18,Aquaphor Healing Ointment Advanced Therapy for Dry and Cracked Skin - 1.75oz,,,4.99,https://www.target.com/p/aquaphor-healing-ointment-advanced-therapy-for-dry-and-cracked-skin-1-75oz/-/A-13287607,Health
19,Kleenex Holiday Perfect Fit Canister Facial Tissue - 2pk/50ct,4.5,935.0,4.29,https://www.target.com/p/kleenex-holiday-perfect-fit-canister-facial-tissue-2pk-50ct/-/A-86912999,Health
20,Ricola Max Throat Care Drops - Honey Lemon - 34ct,4.7,73.0,4.49,https://www.target.com/p/ricola-max-throat-care-drops-honey-lemon-34ct/-/A-86217754,Health
21,Q-Tips Cotton Swabs - 375ct,4.4,1624.0,3.19,https://www.target.com/p/q-tips-cotton-swabs-375ct/-/A-11223546,Health
22,"Lolleez Children's Organic Throat Soothing Pops - Watermelon, Strawberry, & Orange Mango - 15ct",4.5,740.0,7.69,https://www.target.com/p/lolleez-children-s-organic-throat-soothing-pops-watermelon-strawberry-orange-mango-15ct/-/A-53079917,Health
23,Kleenex Holiday Ultra Soft Facial Tissue - 4pk/120ct,4.5,1738.0,6.79,https://www.target.com/p/kleenex-holiday-ultra-soft-facial-tissue-4pk-120ct/-/A-86912998,Health
24,Kleenex Perfect Fit Facial Tissue - 4pk/50ct,4.6,6457.0,7.49,https://www.target.com/p/kleenex-perfect-fit-facial-tissue-4pk-50ct/-/A-16719210,Health
25,Vicks VapoShower Soothing Vapors Tablets - 5ct,4.3,693.0,8.99,https://www.target.com/p/vicks-vaposhower-soothing-vapors-tablets-5ct/-/A-76534688,Health
26,Strawberry Banana Lowfat Kids&#39; Yogurt - 4ct/3.5oz Pouches - Good &#38; Gather&#8482;,4.7,312.0,3.99,https://www.target.com/p/strawberry-banana-lowfat-kids-39-yogurt-4ct-3-5oz-pouches-good-38-gather-8482/-/A-54682589,Health
27,Hero Cosmetics Mighty Acne Pimple Patch Duo - 12ct,4.5,1512.0,7.0,https://www.target.com/p/hero-cosmetics-mighty-acne-pimple-patch-duo-12ct/-/A-76462859,Health
28,Chobani Mixed Berry on the Bottom Low-Fat Vanilla Greek Yogurt - 4ct/5.3oz Cups,4.8,330.0,4.59,https://www.target.com/p/chobani-mixed-berry-on-the-bottom-low-fat-vanilla-greek-yogurt-4ct-5-3oz-cups/-/A-54514903,Health
29,Wet Ones Antibacterial Hand Wipes Travel Pack - Tropical Splash - 20ct,4.8,565.0,1.89,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-travel-pack-tropical-splash-20ct/-/A-14739016,Health
30,Quaker Chewy Chocolate Chip Granola Bars - 18ct/15.2OZ,4.6,2106.0,4.99,https://www.target.com/p/quaker-chewy-chocolate-chip-granola-bars-18ct-15-2oz/-/A-53141964,Health
31,Crest Kid's Cavity Protection Sparkle Fun Flavor Toothpaste - 4.6oz,,,1.99,https://www.target.com/p/crest-kid-s-cavity-protection-sparkle-fun-flavor-toothpaste-4-6oz/-/A-13956414,Health
32,Q-Tips Cotton Swabs 625 ct,4.2,1165.0,4.59,https://www.target.com/p/q-tips-cotton-swabs-625-ct/-/A-11223524,Health
33,Tums Chewy Bites Extra Strength Antacid Assorted Berry 60ct,,,7.99,https://www.target.com/p/tums-chewy-bites-extra-strength-antacid-assorted-berry-60ct/-/A-51633956,Health
34,Rice Krispies Treats Original Bars - 16ct - Kellogg's,4.8,1023.0,4.99,https://www.target.com/p/rice-krispies-treats-original-bars-16ct-kellogg-s/-/A-12992349,Health
35,Ricola Cough Drops - Berry Medley - 45ct,4.7,210.0,4.49,https://www.target.com/p/ricola-cough-drops-berry-medley-45ct/-/A-83067937,Health
36,Pre-Moistened Lens Wipes - 60ct - up &#38; up&#8482;,4.2,1556.0,3.99,https://www.target.com/p/pre-moistened-lens-wipes-60ct-up-38-up-8482/-/A-15022894,Health
37,Nitrile Exam Gloves - 50ct - up &#38; up&#8482;,4.5,1265.0,7.49,https://www.target.com/p/nitrile-exam-gloves-50ct-up-38-up-8482/-/A-80813611,Health
38,Women&#39;s Tech Touch Knit Gloves - Wild Fable&#8482; Black,,,5.0,https://www.target.com/p/women-39-s-tech-touch-knit-gloves-wild-fable-8482-black/-/A-84997572,Health
39,Pampers Sensitive Perfume Free Baby Wipes - 672ct,,,21.99,https://www.target.com/p/pampers-sensitive-perfume-free-baby-wipes-672ct/-/A-79684738,Health
40,Kids&#39; 3pk Gloves - Cat &#38; Jack&#8482; Black,4.8,66.0,5.0,https://www.target.com/p/kids-39-3pk-gloves-cat-38-jack-8482-black/-/A-85280284,Health
41,Tree Hut Moroccan Rose Shea Sugar Body Scrub - 18oz,4.8,2204.0,7.99,https://www.target.com/p/tree-hut-moroccan-rose-shea-sugar-body-scrub-18oz/-/A-51693591,Health
42,Kleenex Slim Pack Facial Tissue - 6pk/10ct,,,2.39,https://www.target.com/p/kleenex-slim-pack-facial-tissue-6pk-10ct/-/A-14736256,Health
43,"PanOxyl Maximum Strength Antimicrobial Acne Foaming Wash for Face, Chest and Back with 10% Benzoyl Peroxide - 5.5oz",4.6,1767.0,9.79,https://www.target.com/p/panoxyl-maximum-strength-antimicrobial-acne-foaming-wash-for-face-chest-and-back-with-10-benzoyl-peroxide-5-5oz/-/A-14984165,Health
44,Ricola Cough Drops - Honey Herb - 45ct,4.7,301.0,4.49,https://www.target.com/p/ricola-cough-drops-honey-herb-45ct/-/A-50045818,Health
45,Cotton Swabs Colored Stick - 300ct - up &#38; up&#8482;,4.6,1292.0,1.19,https://www.target.com/p/cotton-swabs-colored-stick-300ct-up-38-up-8482/-/A-14794126,Health
46,Holiday Ultra Soft Facial Tissue - 65ct/4pk - up &#38; up&#8482;,4.4,39.0,5.29,https://www.target.com/p/holiday-ultra-soft-facial-tissue-65ct-4pk-up-38-up-8482/-/A-86086744,Health
47,Tree Hut Coco Colada Shea Sugar Body Scrub - 18oz,4.8,1463.0,7.99,https://www.target.com/p/tree-hut-coco-colada-shea-sugar-body-scrub-18oz/-/A-75568643,Health
48,Ricola Cough Drops - Honey Herb - 45ct,4.7,301.0,4.49,https://www.target.com/p/ricola-cough-drops-honey-herb-45ct/-/A-50045818,Health
49,Cotton Swabs Colored Stick - 300ct - up &#38; up&#8482;,4.6,1292.0,1.19,https://www.target.com/p/cotton-swabs-colored-stick-300ct-up-38-up-8482/-/A-14794126,Health
50,Holiday Ultra Soft Facial Tissue - 65ct/4pk - up &#38; up&#8482;,4.4,39.0,5.29,https://www.target.com/p/holiday-ultra-soft-facial-tissue-65ct-4pk-up-38-up-8482/-/A-86086744,Health
51,Tree Hut Coco Colada Shea Sugar Body Scrub - 18oz,4.8,1463.0,7.99,https://www.target.com/p/tree-hut-coco-colada-shea-sugar-body-scrub-18oz/-/A-75568643,Health
52,Quaker Chewy Chocolate Chip Granola Bars - 8ct,4.6,2002.0,2.69,https://www.target.com/p/quaker-chewy-chocolate-chip-granola-bars-8ct/-/A-13315265,Health
53,Tums Extra Strength Antacid Smoothies Assorted Fruit Chewable Tablet 12ct,,,1.99,https://www.target.com/p/tums-extra-strength-antacid-smoothies-assorted-fruit-chewable-tablet-12ct/-/A-14779009,Health
54,Regular Cotton Swabs Paper Sticks - 750ct - up &#38; up&#8482;,4.8,1145.0,3.19,https://www.target.com/p/regular-cotton-swabs-paper-sticks-750ct-up-38-up-8482/-/A-11031103,Health
55,Stonyfield Organic Whole Milk Pear Spinach Mango Kids&#39; Yogurt - 4ct/3.5oz Pouches,4.8,247.0,6.29,https://www.target.com/p/stonyfield-organic-whole-milk-pear-spinach-mango-kids-39-yogurt-4ct-3-5oz-pouches/-/A-15121684,Health
56,Chobani Mixed Berries Greek Style Yogurt Drink - 7 fl oz,4.6,674.0,1.99,https://www.target.com/p/chobani-mixed-berries-greek-style-yogurt-drink-7-fl-oz/-/A-50905886,Health
57,"CLIF Bar Chocolate Chip, White Chocolate Macadamia &#38; Crunchy Peanut Butter Energy Bars Bundle",5.0,1.0,17.69,https://www.target.com/p/clif-bar-chocolate-chip-white-chocolate-macadamia-38-crunchy-peanut-butter-energy-bars-bundle/-/A-81646631,Health
58,Kids&#39; 3pk Gloves - Cat &#38; Jack&#8482; Navy/Gray/Black,4.7,60.0,5.0,https://www.target.com/p/kids-39-3pk-gloves-cat-38-jack-8482-navy-gray-black/-/A-85280276,Health
59,Mrs. Meyer&#39;s Clean Day Holiday Hand Soap - Snowdrop - 12.5 fl oz,4.7,109.0,4.99,https://www.target.com/p/mrs-meyer-39-s-clean-day-holiday-hand-soap-snowdrop-12-5-fl-oz/-/A-86823842,Health
60,Youth Soft Toothbrushes - 4pk - up &#38; up&#8482;,4.6,1601.0,1.59,https://www.target.com/p/youth-soft-toothbrushes-4pk-up-38-up-8482/-/A-11031165,Health
61,Danimals Strawberry &#38; Mixed Berry Kids&#39; Smoothies - 12ct/3.1 fl oz Bottles,4.7,419.0,6.29,https://www.target.com/p/danimals-strawberry-38-mixed-berry-kids-39-smoothies-12ct-3-1-fl-oz-bottles/-/A-79401805,Health
